% generated: 2015.09.09 15:46:44

@relation "CheS-Mapper-Dataset"

@attribute "STRUCTURE_MolecularWeight_1651437192" numeric
@attribute "STRUCTURE_ChemicalType_139811304" {"defined organic","inorganic","organometallic"}
@attribute "apol_1959527413" numeric
@attribute "bpol_1752476945" numeric

@data
0.12043967304520875,"defined organic",0.1396109716695285,0.19205767772979299
0.14203538768963897,"defined organic",0.06210021887907785,0.07173783108126146
0.30909653960739963,"defined organic",0.15146235953384077,0.1434756621625229
0.13611947572578192,"defined organic",0.18185629104302042,0.19630286871040345
0.089118728670558,"defined organic",0.08265155963431609,0.06418668039500394
0.24493992121750086,"defined organic",0.06164575376585725,0.05766515500793329
0.07916700023157541,"defined organic",0.03561401898187939,0.03563343267099692
0.24493992121750086,"defined organic",0.06164575376585725,0.05766515500793329
0.10606965772530472,"defined organic",0.04350301763490115,0.030349142130411306
0.07916700023157541,"defined organic",0.03561401898187939,0.03563343267099692
0.05226442084084912,"defined organic",0.02772502032885764,0.04091772321158253
0.06164513822474217,"defined organic",0.03690065699278946,0.04091772321158253
0.12982164007715016,"defined organic",0.1540460624155063,0.1351742159570381
0.15786046195583198,"defined organic",0.11435532370413178,0.11588951903581497
0.14359252726087693,"defined organic",0.08020556429062846,0.030349142130411306
0.0789999379081126,"defined organic",0.0992926454774906,0.0995721810019924
0.14359252726087693,"defined organic",0.08020556429062846,0.030349142130411306
0.06801373519411134,"defined organic",0.06237760984497436,0.04808587670923863
0.11668986976714761,"defined organic",0.07231656563760669,0.03563343267099692
0.09012219605337717,"defined organic",0.05174221280268973,0.05279553410191484
0.14359252726087693,"defined organic",0.08020556429062846,0.030349142130411306
0.04608483313879177,"defined organic",0.13828317362937875,0.03788459395869323
0.11668986976714761,"defined organic",0.07231656563760669,0.03563343267099692
0.16741308404937516,"defined organic",0.18010278516910355,0.1559281062007646
0.19702505661491432,"defined organic",0.19580958787612282,0.2468185440122426
0.032868086761501936,"defined organic",0.046497319830417765,0.07544926089070197
0.1595573277994752,"defined organic",0.06081358086816777,0.06645354054067584
0.12169955258694719,"defined organic",0.03679638839433568,0.054575729650343525
0.08978729037642133,"defined organic",0.06442756698458493,0.04091772321158253
0.05226442084084912,"defined organic",0.02772502032885764,0.04091772321158253
0.06321953855964785,"defined organic",0.04385321414966797,0.05807982464250046
0.11029104693560915,"defined organic",0.14072466978304313,0.13389638386382827
0.11029104693560915,"defined organic",0.14072466978304313,0.13389638386382827
0.09303684392013031,"defined organic",0.09152679325267267,0.08708833924779952
